# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
452 0.00863932 0.00878178 0.00868368 0.0261048
453 0.00864491 0.00878937 0.00869038 0.0261247
454 0.00865057 0.00879699 0.00869709 0.0261447
455 0.00865627 0.00880465 0.00870382 0.0261647
456 0.00866203 0.00881234 0.00871055 0.0261849
457 0.00866784 0.00882006 0.00871729 0.0262052
458 0.0086737 0.0088278 0.00872403 0.0262255
459 0.00867961 0.00883556 0.00873077 0.0262459
460 0.00868555 0.00884333 0.00873751 0.0262664
461 0.00869154 0.00885112 0.00874425 0.0262869
462 0.00869756 0.00885891 0.00875098 0.0263075
463 0.00870362 0.00886671 0.00875771 0.026328
464 0.00870971 0.0088745 0.00876442 0.0263486
465 0.00871583 0.00888229 0.00877113 0.0263693
466 0.00872198 0.00889007 0.00877782 0.0263899
467 0.00872815 0.00889784 0.0087845 0.0264105
468 0.00873435 0.0089056 0.00879115 0.0264311
469 0.00874056 0.00891333 0.00879779 0.0264517
470 0.0087468 0.00892104 0.0088044 0.0264722
471 0.00875304 0.00892872 0.00881098 0.0264927
472 0.0087593 0.00893637 0.00881754 0.0265132
473 0.00876557 0.00894399 0.00882406 0.0265336
474 0.00877184 0.00895157 0.00883054 0.026554
475 0.00877812 0.00895911 0.00883699 0.0265742
476 0.0087844 0.0089666 0.00884339 0.0265944
477 0.00879068 0.00897404 0.00884975 0.0266145
478 0.00879695 0.00898143 0.00885606 0.0266344
479 0.00880321 0.00898877 0.00886232 0.0266543
480 0.00880946 0.00899604 0.00886852 0.026674
481 0.0088157 0.00900326 0.00887466 0.0266936
482 0.00882192 0.00901041 0.00888074 0.0267131
483 0.00882812 0.00901748 0.00888675 0.0267324
484 0.00883429 0.00902449 0.0088927 0.0267515
485 0.00884044 0.00903142 0.00889857 0.0267704
486 0.00884655 0.00903827 0.00890436 0.0267892
487 0.00885263 0.00904504 0.00891007 0.0268077
488 0.00885866 0.00905173 0.00891569 0.0268261
489 0.00886465 0.00905832 0.00892123 0.0268442
490 0.0088706 0.00906483 0.00892668 0.0268621
491 0.00887649 0.00907124 0.00893203 0.0268798
492 0.00888232 0.00907756 0.00893728 0.0268972
493 0.0088881 0.00908378 0.00894243 0.0269143
494 0.00889381 0.0090899 0.00894748 0.0269312
495 0.00889945 0.00909591 0.00895242 0.0269478
496 0.00890502 0.00910182 0.00895725 0.0269641
497 0.00891051 0.00910763 0.00896197 0.0269801
498 0.00891592 0.00911332 0.00896657 0.0269958
499 0.00892124 0.00911891 0.00897106 0.0270112
500 0.00892647 0.00912439 0.00897543 0.0270263
501 0.00893161 0.00912976 0.00897967 0.027041
502 0.00893665 0.00913502 0.0089838 0.0270555
503 0.0089416 0.00914017 0.0089878 0.0270696
504 0.00894643 0.00914521 0.00899168 0.0270833
505 0.00895116 0.00915013 0.00899544 0.0270967
506 0.00895577 0.00915495 0.00899907 0.0271098
