# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
407 0.0885325 0.088957 0.0771138 0.254603
408 0.0880184 0.0881659 0.0766256 0.25281
409 0.087455 0.0873225 0.0760995 0.250877
410 0.0868423 0.0864277 0.0755356 0.248806
411 0.0861806 0.0854824 0.0749343 0.246597
412 0.0854701 0.0844878 0.0742959 0.244254
413 0.0847112 0.0834448 0.0736207 0.241777
414 0.0839042 0.0823546 0.0729091 0.239168
415 0.0830496 0.0812183 0.0721613 0.236429
416 0.0821478 0.0800371 0.0713777 0.233563
417 0.0811994 0.0788121 0.0705586 0.23057
418 0.080205 0.0775447 0.0697045 0.227454
419 0.0791651 0.0762359 0.0688158 0.224217
420 0.0780806 0.0748872 0.0678927 0.220861
421 0.0769521 0.0734997 0.0669359 0.217388
422 0.0757806 0.0720748 0.0659457 0.213801
423 0.0745667 0.0706138 0.0649225 0.210103
424 0.0733114 0.069118 0.0638669 0.206296
425 0.0720158 0.0675887 0.0627795 0.202384
426 0.0706807 0.0660274 0.0616606 0.198369
427 0.0693073 0.0644354 0.0605109 0.194254
428 0.0678967 0.062814 0.059331 0.190042
429 0.06645 0.0611647 0.0581214 0.185736
430 0.0649684 0.0594889 0.0568827 0.18134
431 0.0634532 0.0577879 0.0556157 0.176857
432 0.0619055 0.0560633 0.0543209 0.17229
433 0.0603268 0.0543164 0.0529991 0.167642
434 0.0587183 0.0525486 0.0516511 0.162918
435 0.0570814 0.0507614 0.0502776 0.15812
436 0.0554175 0.0489562 0.0488794 0.153253
437 0.0537279 0.0471343 0.0474574 0.14832
438 0.0520142 0.0452974 0.0460124 0.143324
439 0.0502777 0.0434466 0.0445454 0.13827
440 0.0485198 0.0415836 0.0430571 0.13316
441 0.046742 0.0397096 0.0415487 0.128
442 0.0449458 0.037826 0.040021 0.122793
443 0.0431325 0.0359343 0.038475 0.117542
444 0.0413037 0.0340358 0.0369117 0.112251
445 0.0394607 0.0321319 0.0353321 0.106925
446 0.037605 0.0302239 0.0337373 0.101566
447 0.035738 0.0283131 0.0321283 0.0961794
448 0.0338612 0.0264008 0.030506 0.0907681
449 0.031976 0.0244884 0.0288716 0.085336
450 0.0300838 0.022577 0.0272261 0.0798869
451 0.0281861 0.020668 0.0255705 0.0744245
452 0.0262842 0.0187625 0.0239058 0.0689525
453 0.0243797 0.0168617 0.0222332 0.0634746
454 0.0224739 0.0149668 0.0205537 0.0579943
455 0.0205683 0.0130789 0.0188683 0.0525155
456 0.0186644 0.0111992 0.0171781 0.0470417
457 0.0167636 0.00932863 0.0154843 0.0415765
458 0.0148673 0.00746839 0.0137879 0.0361235
459 0.012977 0.00561945 0.01209 0.0306864
460 0.0110941 0.00378284 0.0103918 0.0252687
461 0.0092201 0.00195957 0.00869436 0.019874
462 0.00735642 0.000150585 0.00699895 0.0145059
463 0.00550449 -0.00164315 0.0053067 0.00916804
464 0.00366574 -0.00342069 0.00361882 0.00386387
465 0.00184156 -0.00518109 0.00193652 -0.00140302
466 3.33282e-05 -0.00692346 0.00026102 -0.00662911
467 -0.0017576 -0.00864684 -0.00140643 -0.0118109
468 -0.00352991 -0.0103503 -0.00306457 -0.0169448
469 -0.0052823 -0.012033 -0.00471213 -0.0220274
470 -0.0070135 -0.0136939 -0.00634786 -0.0270553
471 -0.0087223 -0.0153322 -0.00797049 -0.0320249
472 -0.0104075 -0.0169468 -0.00957873 -0.036933
473 -0.0120679 -0.018537 -0.0111713 -0.0417762
474 -0.0137025 -0.0201017 -0.012747 -0.0465512
