# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
590 1.00205 0.972128 0.970263 2.94444
591 1.00195 0.972027 0.970155 2.94413
592 1.00185 0.971926 0.970045 2.94382
593 1.00175 0.971823 0.969934 2.9435
594 1.00164 0.971719 0.969821 2.94318
595 1.00154 0.971613 0.969707 2.94286
596 1.00143 0.971505 0.969592 2.94253
597 1.00132 0.971396 0.969475 2.94219
598 1.00121 0.971286 0.969356 2.94185
599 1.0011 0.971174 0.969235 2.94151
600 1.00098 0.97106 0.969113 2.94116
601 1.00087 0.970944 0.96899 2.9408
602 1.00075 0.970827 0.968865 2.94044
603 1.00063 0.970708 0.968737 2.94008
604 1.00051 0.970588 0.968609 2.93971
605 1.00039 0.970465 0.968478 2.93933
606 1.00027 0.970341 0.968346 2.93895
607 1.00014 0.970215 0.968211 2.93857
608 1.00001 0.970087 0.968075 2.93817
609 0.999882 0.969957 0.967937 2.93778
610 0.999749 0.969825 0.967797 2.93737
611 0.999615 0.969691 0.967656 2.93696
612 0.999479 0.969555 0.967512 2.93655
613 0.999341 0.969418 0.967366 2.93612
614 0.999201 0.969278 0.967218 2.9357
615 0.999058 0.969136 0.967068 2.93526
616 0.998914 0.968992 0.966916 2.93482
617 0.998767 0.968846 0.966762 2.93437
618 0.998618 0.968698 0.966606 2.93392
619 0.998467 0.968547 0.966448 2.93346
620 0.998314 0.968395 0.966287 2.933
621 0.998159 0.96824 0.966125 2.93252
